!SIL 1.0	SIL
<OOV> 1.0	SPN
BIAR 1.0	B I A R
BIASA 1.0	B I A S A
BIKIN 1.0	B I K I N
BINATANG 1.0	B I N A T A NG
BINTAN 1.0	B I N T A N
BINTANG 1.0	B I N T A NG
BIOTA 1.0	B I O T A
BISA 1.0	B I S A
BLACKPINK 1.0	B L EE K P I NG K
BLEW 1.0	B L U W
BNB 1.0	B I EE N B I
BOAT 1.0	B O T
BOLEH 1.0	B O L EE H
BORDER 1.0	B O R D E R
BORING 1.0	B O R I NG
BOSEN 1.0	B O S E N
BRAGA 1.0	B R A G A
BRO 1.0	B R O
BROMO 1.0	B R O M O
BROWSING 1.0	B R O W S I NG
BUAH 1.0	B U A H
BUANG 1.0	B U A NG
BUAT 1.0	B U A T
BUCKET 1.0	B A K EE T
BUDAK 1.0	B U D A K
BUDGET 1.0	B A J E T
BUKAN 1.0	B U K A N
BULAN 1.0	B U L A N
BUTUH 1.0	B U T U H
CACAT 1.0	C A C A T
CAMPING 1.0	K EE M P I NG
CAPE 1.0	C A P EE
CAPEK 1.0	C A P EE K
CARA 1.0	C A R A
CARI 1.0	C A R I
CASE 1.0	K EE S
CATCHY 1.0	K EE C I
CEMIL 1.0	C EE M I L
CEPAT 1.0	C E P A T
CHEAP 1.0	C I P
CIATER 1.0	C I A T E R
CIKOLE 1.0	C I K O L EE
CILEMBER 1.0	C I L EE M B E R
CITA 1.0	C I T A
CLASS 1.0	K L EE S
CLEAR 1.0	K L I R
CLOSE 1.0	K L O S
CLOTHES 1.0	K E L O T S
CLOUD 1.0	K L A U D
COBA 1.0	C O B A
COBAIN 1.0	C O B A I N
COCOK 1.0	C O C O K
CONTOHNYA 1.0	C O N T O H NY A
COOKING 1.0	K U K I NG
COZY 1.0	K O Z I
CRAZY 1.0	K R EE Z I
CROISSANT 1.0	K R OI S A N T
CUKUP 1.0	C U K U P
CULTURAL 1.0	K A L C H E R E L
CULTURE 1.0	K A L C H E R
CUMA 1.0	C U M A
DAERAH 1.0	D A EE R A H
DAH 1.0	D A H
DALAM 1.0	D A L A M
DAMAI 1.0	D A M AI
DAN 1.0	D A N
DANAU 1.0	D A N AU
DAPAT 1.0	D A P A T
DARI 1.0	D A R I
DARIPADA 1.0	D A R I P A D A
DASAR 1.0	D A S A R
DEH 1.0	D EE H
DELAPAN 1.0	D E L A P A N
DEMOKRATIS 1.0	D EE M O K R A T I S
DENGAN 1.0	D E NG A N
DENGAR 1.0	D E NG A R
DEPAN 1.0	D E P A N
DESTINASI 1.0	D EE S T I N A S I
DESTINATION 1.0	D EE S T I N EE Y SY E N
DEWASA 1.0	D EE W A S A
DI 1.0	D I
DIA 1.0	D I A
DIAGENDAKAN 1.0	D I A G EE N D A K A N
DIAKSES 1.0	D I A K S EE S
DIANGGAP 1.0	D I A NG G A P
DIANGKAT 1.0	D I A NG K A T
DIBANDINGIN 1.0	D I B A N D I NG I N
DIBATASI 1.0	D I B A T A S I
DIBAWA 1.0	D I B A W A
DIBERIKAN 1.0	D I B E R I K A N
DIBUANG 1.0	D I B U A NG
DIBUKTIKAN 1.0	D I B U K T I K A N
DICABUT 1.0	D I C A B U T
DICIPTAKANNYA 1.0	D I C I P T A K A N NY A
DICOBA 1.0	D I C O B A
DIGALAKKAN 1.0	D I G A L A K K A N
DIGANGGU 1.0	D I G A NG G U
DIHUBUNGIN 1.0	D I H U B U NG I N
DIHUKUM 1.0	D I H U K U M
DIJAMIN 1.0	D I J A M I N
DIJATUHKAN 1.0	D I J A T U H K A N
DIKARUNIAI 1.0	D I K A R U N I A I
DIKENAKAN 1.0	D I K A R E N A K A N
DIKIT 1.0	D I K I T
DIKUNJUNGI 1.0	D I K U N J U NG I
DILAHIRKAN 1.0	D I L A H I R K A N
DILAKSANAKAN 1.0	D I L A K S A N A K A N
DILAKUKAN 1.0	D I L A K U K A N
DILARANG 1.0	D I L A R A NG
DILINDUNGI 1.0	D I L I N D U NG I
DINAMAI 1.0	D I N A M A I
DINGIN 1.0	D I NG I N
DINNER 1.0	D I N E R
DINYATAKAN 1.0	D I NY A T A K A N
DIPAKSA 1.0	D I P A K S A
DIPENUHI 1.0	D I P E N U H I
DIPERBOLEHKAN 1.0	D I P E R B O L EE H K A N
DIPERBUDAK 1.0	D I P E R B U D A K
DIPERHAMBAKAN 1.0	D I P E R H A M B A K A N
DIPERKENANKAN 1.0	D I P E R K E N A N K A N
DIPERLAKUKAN 1.0	D I P E R L A K U K A N
DIPERLUKAN 1.0	D I P E R L U K A N
DIPEROLEH 1.0	D I P E R O L E H
DIPERSALAHKAN 1.0	D I P E R S A L A H K A N
DIPERSIAPKAN 1.0	D I P E R S I A P K A N
DIPILIH 1.0	D I P I L I H
DIRAMPAS 1.0	D I R A M P A S
DIRENDAHKAN 1.0	D I R E N D A H K A N
DIRI 1.0	D I R I
DIRINYA 1.0	D I R I NY A
DISANGKA 1.0	D I S A NG K A
DISCOUNT 1.0	D I S K AU N T
DISIKSA 1.0	D I S I K S A
DISITU 1.0	D I S I T U
DISKON 1.0	D I S K O N
DISKRIMINASI 1.0	D I S K R I M I N A S I
DISURUH 1.0	D I S U R U H
DITAFSIRKAN 1.0	D I T A F S I R K A N
DITAHAN 1.0	D I T A H A N
DITAMBAH 1.0	D I T A M B A H
DITANGKAP 1.0	D I T A NG K A P
DITENTUKAN 1.0	D I T E N T U K A N
DITETAPKAN 1.0	D I T E T A P K A N
DITOLAK 1.0	D I T O L A K
DITUJUKAN 1.0	D I T U J U K A N
DITUNTUT 1.0	D I T U N T U T
DIVING 1.0	D A I V I NG
DIWAJIBKAN 1.0	D I W A J I B K A N
DOKUMENTASI 1.0	D O K U M EE N T A S I
DONG 1.0	D O NG
DREAM 1.0	D R I M
DUA 1.0	D U A
DUIT 1.0	D U I T
DULU 1.0	D U L U
DUNIA 1.0	D U N I A
DURIAN 1.0	D U R I A N
E 1.0	EE
E 1.0	I
EFEKTIF 1.0	EE F EE K T I F
EH 1.0	EE H
EKONOMI 1.0	EE K O N O M I
EMPAT 1.0	E M P A T
ENAK 1.0	EE N A K
ENAKNYA 1.0	EE N A K NY A
ENAM 1.0	E N A M
ENJOY 1.0	EE N J OI
EROPA 1.0	EE R O P A
EXPENSIVE 1.0	EE K S P EE N S I F
EXPERIENCE 1.0	EE K S P I R I E N S
EXPLORE 1.0	EE K S P L O R
EYE 1.0	AI
FACE 1.0	F EE S
FAMILY 1.0	F EE M I L I
FAVORIT 1.0	F A V O R I T
FLIGHT 1.0	F L AI T
FOOD 1.0	F U D
FOTO 1.0	F O T O
FRESH 1.0	F R EE SY
FUNDAMENTAL 1.0	F U N D A M EE N T A L
GA 1.0	G A
GAJIKU 1.0	G A J I K U
GAK 1.0	G A K
GAME 1.0	G EE M
GANGGUAN 1.0	G A NG G U A N
GELOMBANG 1.0	G E L O M B A NG
GENTENG 1.0	G E N T EE NG
GEOGRAFIS 1.0	G EE O G R A F I S
GERAH 1.0	G E R A H
GILI 1.0	G I L I
GIMANA 1.0	G I M A N A
GITAR 1.0	G I T A R
GITU 1.0	G I T U
GLAMPING 1.0	G L EE M P I NG
GOING 1.0	G O I NG
GOLDEN 1.0	G O L D E N
GRATIS 1.0	G R A T I S
GUNA 1.0	G U N A
GUNUNG 1.0	G U N U NG
GW 1.0	G U EE
HABIS 1.0	H A B I S
HAK 1.0	H A K
HAKNYA 1.0	H A K NY A
HAL 1.0	H A L
HAMPARAN 1.0	H A M P A R A N
HAMPIR 1.0	H A M P I R
HANYA 1.0	H A NY A
HAPPY 1.0	H EE P I
HARI 1.0	H A R I
HARTA 1.0	H A R T A
HARTANYA 1.0	H A R T A NY A
HARUS 1.0	H A R U S
HASIL 1.0	H A S I L
HASUTAN 1.0	H A S U T A N
HATI 1.0	H A T I
HEAD 1.0	H EE D
HEALING 1.0	H I L I NG
HEALTHY 1.0	H EE L T I
HENDAKNYA 1.0	H E N D A K NY A
HIDUP 1.0	H I D U P
HIJAU 1.0	H I J AU
HIKE 1.0	H AI K
HIKING 1.0	H AI K I NG
HIRUP 1.0	H I R U P
HOBI 1.0	H O B I
HOLIDAY 1.0	H O L I D EE Y
HORE 1.0	H O R EE
HOTEL 1.0	H O T EE L
HOUR 1.0	A W E R
HUBUNGAN 1.0	H U B U NG A N
HUKUM 1.0	H U K U M
HUKUMAN 1.0	H U K U M A N
HUNTING 1.0	H A N T I NG
HUTAN 1.0	H U T A N
IA 1.0	I A
IALAH 1.0	I A L A H
IBADAHNYA 1.0	I B A D A H NY A
IBU 1.0	I B U
IKUT 1.0	I K U T
ILMIAH 1.0	I L M I A H
ILMU 1.0	I L M U
IN 1.0	I N
INDAH 1.0	I N D A H
INDIVIDU 1.0	I N D I V I D U
INDONESIA 1.0	I N D O N EE S I A
INFINITY 1.0	I N F I N I T I
INFORMASI 1.0	I N F O R M A S I
INGIN 1.0	I NG I N
INI 1.0	I N I
INTERNASIONAL 1.0	I N T E R N A S I O N A L
IS 1.0	I S
ISTIMEWA 1.0	I S T I M EE W A
ISTIRAHAT 1.0	I S T I R A H A T
ITINERARY 1.0	I T I N E R EE R I
ITINERARY 1.0	I T I N E R E R I
ITINERARY 1.0	AI T I N E R EE R I
ITINERARY 1.0	AI T I N E R E R I
ITU 1.0	I T U
IYA 1.0	I Y A
JABATAN 1.0	J A B A T A N
JABODETABEK 1.0	J A B O D EE T A B EE K
JACKSON 1.0	J EE K S E N
JADI 1.0	J A D I
JAJAHAN 1.0	J A J A H A N
JAJANAN 1.0	J A J A N A N
JAKARTA 1.0	J A K A R T A
JALAN 1.0	J A L A N
JAM 1.0	J A M
JAMINAN 1.0	J A M I N A N
JANDA 1.0	J A N D A
JANGAN 1.0	J A NG A N
JANJI 1.0	J A N J I
JASTIP 1.0	J A S T I P
JAUH 1.0	J A U H
JENIS 1.0	J E N I S
JEPANG 1.0	J E P A NG
JERMAN 1.0	J EE R M A N
JIKA 1.0	J I K A
JIMBARAN 1.0	J I M B A R A N
JIWA 1.0	J I W A
JOGJA 1.0	J O G J A
JOIN 1.0	J O I N
JONI 1.0	J O N I
JUAL 1.0	J U A L
JUGA 1.0	J U G A
JUJUR 1.0	J U J U R
JUJURLY 1.0	J U J U R L I
JURUSAN 1.0	J U R U S A N
JUST 1.0	J A S T
KADANG 1.0	K A D A NG
KAGAK 1.0	K A G A K
KAK 1.0	K A K
KAKAK 1.0	K A K A K
KALAU 1.0	K A L AU
KALI 1.0	K A L I
KALIAN 1.0	K A L I A N
KALO 1.0	K A L O
KAMERA 1.0	K A M EE R A
KAMI 1.0	K A M I
KAMU 1.0	K A M U
KANTOR 1.0	K A N T O R
KAPAN 1.0	K A P A N
KARANGNYA 1.0	K A R A NG NY A
KARENA 1.0	K A R E N A
KASUS 1.0	K A S U S
KATA 1.0	K A T A
KATANYA 1.0	K A T A NY A
KAWAH 1.0	K A W A H
KAYA 1.0	K A Y A
KAYAKNYA 1.0	K A Y A K NY A
KE 1.0	K E
KEADAAN 1.0	K E A D A A N
KEADILAN 1.0	K E A D I L A N
KEBANGSAAN 1.0	K E B A NG S A A N
KEBANYAKAN 1.0	K E B A NY A K A N
KEBEBASAN 1.0	K E B EE B A S A N
KEBEBASANNYA 1.0	K E B EE B A S A N NY A
KEBERHASILAN 1.0	K E B E R H A S I L A N
KEBUDAYAAN 1.0	K E B U D A Y A A N
KEBUN 1.0	K E B U N
KEBUTUHAN 1.0	K E B U T U H A N
KEDAULATAN 1.0	K E D AU L A T A N
KEDUA 1.0	K E D U A
KEDUDUKAN 1.0	K E D U D U K A N
KEGIATAN 1.0	K E G I A T A N
KEHENDAK 1.0	K E H E N D A K
KEHIDUPAN 1.0	K E H I D U P A N
KEHIDUPANNYA 1.0	K E H I D U P A N NY A
KEHORMATANNYA 1.0	K E H O R M A T A N NY A
KEINDAHAN 1.0	K E I N D A H A N
KEJAHATAN 1.0	K E J A H A T A N
KEJAM 1.0	K E J A M
KEKAYAAN 1.0	K E K A Y A A N
KEKUASAAN 1.0	K E K U A S A A N
KEKUASAANNYA 1.0	K E K U A S A A N NY A
KEKURANGAN 1.0	K E K U R A NG A N
KELAHIRAN 1.0	K E L A H I R A N
KELALAIAN 1.0	K E L A L AI A N
KELALIMAN 1.0	K E L A L I M A N
KELAMIN 1.0	K E L A M I N
KELAR 1.0	K E L A R
KELIHATAN 1.0	K E L I H A T A N
KELOMPOK 1.0	K E L O M P O K
KELUARGA 1.0	K E L U A R G A
KELUARGAKU 1.0	K E L U A R G A K U
KELUARGANYA 1.0	K E L U A R G A NY A
KEMAJUAN 1.0	K E M A J U A N
KEMANA 1.0	K E M A N A
KEMARAHAN 1.0	K E M A R A H A N
KEMARAU 1.0	K E M A R AU
KEMARIN 1.0	K E M A R I N
KEMASYARAKATAN 1.0	K E M A SY A R A K A T A N
KEMBALI 1.0	K E M B A L I
KEMERDEKAAN 1.0	K E M E R D EE K A A N
KENANG 1.0	K E N A NG
KENANGAN 1.0	K E N A NG A N
KENAPA 1.0	K E N A P A
KENIKMATAN 1.0	K E N I K M A T A N
KEPADA 1.0	K E P A D A
KEPADANYA 1.0	K E P A D A NY A
KEPANTASAN 1.0	K E P A N T A S A N
KEPENTINGAN 1.0	K E P E N T I NG A N
KEPENTINGANNYA 1.0	K E P E N T I NG A N NY A
KEPERCAYAAN 1.0	K E P E R C A Y A A N
KERAMAIAN 1.0	K E R A M AI A N
KERASA 1.0	K E R A S A
KEREN 1.0	K E R EE N
KERETA 1.0	K E R EE T A
KERINGETAN 1.0	K E R I NG E T A N
KERJA 1.0	K E R J A
KERJAAN 1.0	K E R J A A N
KESALAHANNYA 1.0	K E S A L A H A N NY A
KESATUAN 1.0	K E S A T U A N
KESAYANGAN 1.0	K E S A Y A NG A N
KESEGARAN 1.0	K E S E G A R A N
KESEHATAN 1.0	K E S EE H A T A N
KESEHATANNYA 1.0	K E S EE H A T A N NY A
KESEJAHTERAAN 1.0	K E S E J A H T E R A A N
KESELAMATAN 1.0	K E S E L A M A T A N
KESEMPATAN 1.0	K E S E M P A T A N
KESENIAN 1.0	K E S E N I A N
KESUSASTERAAN 1.0	K E S U S A S T E R A A N
KESUSILAAN 1.0	K E S U S I L A A N
KETAKUTAN 1.0	K E T A K U T A N
KETEMU 1.0	K E T E M U
KETERTIBAN 1.0	K E T E R T I B A N
KETIKA 1.0	K E T I K A
KEWAJIBAN 1.0	K E W A J I B A N
KEWAJIBANNYA 1.0	K E W A J I B A N NY A
KEWARASAN 1.0	K E W A R A S A N
KEWARGANEGARAAN 1.0	K E W A R G A N E G A R A A N
KEWARGANEGARAANNYA 1.0	K E W A R G A N E G A R A A N NY A
KHAS 1.0	KH A S
KHUSUS 1.0	KH U S U S
KITA 1.0	K I T A
KM 1.0	K I L O M EE T E R
KODOK 1.0	K O D O K
KOMODO 1.0	K O M O D O
KOMPETEN 1.0	K O M P E T EE N
KONSER 1.0	K O N S EE R
KOPER 1.0	K O P E R
KOPI 1.0	K O P I
KOREA 1.0	K O R EE A
KOTA 1.0	K O T A
KU 1.0	K U
KUDA 1.0	K U D A
KULIAH 1.0	K U L I A H
KULINER 1.0	K U L I N EE R
KULINERAN 1.0	K U L I N EE R A N
KULIT 1.0	K U L I T
KUMPUL 1.0	K U M P U L
KUNJUNGI 1.0	K U N J U NG I
KURANG 1.0	K U R A NG
KUTA 1.0	K U T A
LAGI 1.0	L A G I
LAIN 1.0	L A I N
LAINNYA 1.0	L A I N NY A
LAKE 1.0	L EE I K
LALU 1.0	L A L U
LAMA 1.0	L A M A
LANDMARKS 1.0	L EE N M A R K S
LANGIT 1.0	L A NG I T
LANGSUNG 1.0	L A NG S U NG
LANJUT 1.0	L A N J U T
LAPER 1.0	L A P E R
LARGEST 1.0	L A R J E S T
LAUT 1.0	L A U T
LAYAK 1.0	L A Y A K
LEAVE 1.0	L I V
LEBIH 1.0	L E B I H
LEGAL 1.0	L EE G A L
LELUASA 1.0	L E L U A S A
LEMBANG 1.0	L EE M B A NG
LENGKAP 1.0	L E NG K A P
LETS 1.0	L EE T S
LEWAT 1.0	L EE W A T
LEZAT 1.0	L E Z A T
LIAT 1.0	L I A T
LIBUR 1.0	L I B U R
LIBURAN 1.0	L I B U R A N
LIBURANKU 1.0	L I B U R A N K U
LIBURANNYA 1.0	L I B U R A N NY A
LIFE 1.0	L AI F
LIHAT 1.0	L I H A T
LIMA 1.0	L I M A
LIST 1.0	L I S T
LITERALLY 1.0	L I T E R E L I
LITERALLY 1.0	L I C E R E L I
LOH 1.0	L O H
LOKAL 1.0	L O K A L
LOKASI 1.0	L O K A S I
LOMBOK 1.0	L O M B O K
LONDON 1.0	L A N D E N
LONG 1.0	L O NG
LONGEST 1.0	L O NG E S T
LUAR 1.0	L U A R
LUAS 1.0	L U A S
LUASNYA 1.0	L U A S NY A
LUPA 1.0	L U P A
MACAU 1.0	M A C AU
MACAU 1.0	M A K AU
MAH 1.0	M A H
MAHAL 1.0	M A H A L
MAHASISWA 1.0	M A H A S I S W A
MAIN 1.0	M A I N
MAJELIS 1.0	M A J E L I S
MAKA 1.0	M A K A
MAKAN 1.0	M A K A N
MAKANAN 1.0	M A K A N A N
MAKANANNYA 1.0	M A K A N A N NY A
MAKE 1.0	M A K EE
MAKIN 1.0	M A K I N
MAKSUD 1.0	M A K S U D
MALAM 1.0	M A L A M
MALESIN 1.0	M A L E S I N
MAMPIR 1.0	M A M P I R
MANA 1.0	M A N A
MANFAATNYA 1.0	M A N F A A T NY A
MANUSIA 1.0	M A N U S I A
MANUSIAWI 1.0	M A N U S I A W I
MARTABAT 1.0	M A R T A B A T
MARTABATNYA 1.0	M A R T A B A T NY A
MASA 1.0	M A S A
MASAK 1.0	M A S A K
MASAKAN 1.0	M A S A K A N
MASALAH 1.0	M A S A L A H
MASIH 1.0	M A S I H
MASYARAKAT 1.0	M A SY A R A K A T
MATA 1.0	M A T A
MATANG 1.0	M A T A NG
MATERIAL 1.0	M A T E R I A L
MAU 1.0	M A U
MAUPUN 1.0	M A U P U N
MEDAN 1.0	M EE D A N
MEDIA 1.0	M EE D I A
MEETING 1.0	M I T I NG
MELAKSANAKAN 1.0	M E L A K S A N A K A N
MELAKUKAN 1.0	M E L A K U K A N
MELALUI 1.0	M E L A L U I
MELEPASKAN 1.0	M E L E P A S K A N
MELIBATKAN 1.0	M E L I B A T K A N
MELINDUNGI 1.0	M E L I N D U NG I
MEMAJUKAN 1.0	M E M A J U K A N
MEMANDANG 1.0	M E M A N D A NG
MEMANDANGI 1.0	M E M A N D A NG I
MEMANG 1.0	M EE M A NG
MEMASAK 1.0	M E M A S A K
MEMASUKI 1.0	M E M A S U K I
MEMBAWA 1.0	M E M B A W A
MEMBEDA 1.0	M E M B E D A
MEMBELI 1.0	M E M B E L I
MEMBENTUK 1.0	M E M B E N T U K
MEMBERIKAN 1.0	M E M B E R I K A N
MEMBUAT 1.0	M E M B U A T
MEMBUTUHKAN 1.0	M E M B U T U H K A N
MEMELIHARA 1.0	M E M E L I H A R A
MEMENUHI 1.0	M E M E N U H I
MEMIHAK 1.0	M E M I H A K
MEMILIH 1.0	M E M I L I H
MEMILIKI 1.0	M E M I L I K I
MEMORABLE 1.0	M EE M O R E B E L
MEMPELAI 1.0	M E M P E L AI
MEMPERKOKOH 1.0	M E M P E R K O K O H
MEMPEROLEH 1.0	M E M P E R O L EE H
MEMPRAKTEKKANNYA 1.0	M E M P R A K T E K K A N NY A
MEMPROKLAMASIKAN 1.0	M E M P R O K L A M A S I K A N
MEMPUNYAI 1.0	M E M P U NY A I
MENA 1.0	M E N A
MENAATINYA 1.0	M E N A A T I NY A
MENANTI 1.0	M E N A N T I
MENANTIKAN 1.0	M E N A N T I K A N
MENARIK 1.0	M E N A R I K
MENCAPAI 1.0	M E N C A P AI
MENCARI 1.0	M E N C A R I
MENCOBA 1.0	M E N C O B A
MENDAKI 1.0	M E N D A K I
MENDAPAT 1.0	M E N D A P A T
MENDAPATKAN 1.0	M E N D A P A T K A N
MENDERITA 1.0	M E N D E R I T A
MENDIDIK 1.0	M E N D I D I K
MENDING 1.0	M E N D I NG
MENDIRIKAN 1.0	M E N D I R I K A N
MENENTANG 1.0	M E N E N T A NG
MENERIMA 1.0	M E N E R I M A
MENETAPKAN 1.0	M E N E T A P K A N
MENGABADIKAN 1.0	M E NG A B A D I K A N
MENGABAIKAN 1.0	M E NG A B AI K A N
MENGAJAKKU 1.0	M E NG A J A K K U
MENGAJAR 1.0	M E NG E J A R
MENGAJARKANNYA 1.0	M E NG A J A R K A N NY A
MENGAKIBATKAN 1.0	M E NG A K I B A T K A N
MENGAKOMODIR 1.0	M E NG A K O M O D I R
MENGALAMI 1.0	M E NG A L A M I
MENGANGGUR 1.0	M E NG A NG G U R
MENGARAH 1.0	M E NG A R A H
MENGECAP 1.0	M E NG E C A P
MENGELUARKAN 1.0	M E NG E L U A R K A N
MENGEMBANGKAN 1.0	M E NG E M B A NG K A N
MENGENAL 1.0	M E NG E N A L
MENGESANKAN 1.0	M E NG E S A N K A N
MENGGALAKKAN 1.0	M E NG G A L A K K A N
MENGGANTI 1.0	M E NG G A N T I
MENGINAP 1.0	M E NG I N A P
MENGINGAT 1.0	M E NG I NG A T
MENGUMPULKAN 1.0	M E NG U M P U L K A N
MENGUNJUNGI 1.0	M E NG U N J U NG I
MENIKAH 1.0	M E N I K A H
MENIKMATI 1.0	M E N I K M A T I
MENIMBANG 1.0	M E N I M B A NG
MENIMBULKAN 1.0	M E N I M B U L K A N
MENINGGALKAN 1.0	M E N I NG G A L K A N
MENJADI 1.0	M E N J A D I
MENJAGA 1.0	M E N J A G A
MENJALANKAN 1.0	M E N J A L A N K A N
MENJAMIN 1.0	M E N J A M I N
MENJATUHKAN 1.0	M E N J A T U H K A N
MENJAUH 1.0	M E N J A U H
MENJELAJAHI 1.0	M E N J E L A J A H I
MENO 1.0	M E N O
MENURUT 1.0	M E N U R U T
MENURUTKU 1.0	M E N U R U T K U
MENYAMPAIKAN 1.0	M E NY A M P AI K A N
MENYATAKAN 1.0	M E NY A T A K A N
MENYEGARKAN 1.0	M E NY E G A R K A N
MENYENANGKAN 1.0	M E NY E N A NG K A N
MENYURATNYA 1.0	M E NY U R A T NY A
MERASAKAN 1.0	M E R A S A K A N
MERDEKA 1.0	M E R D EE K A
MEREKA 1.0	M E R EE K A
MERENCANAKAN 1.0	M E R E N C A N A K A N
MERUPAKAN 1.0	M E R U P A K A N
MERUSAK 1.0	M E R U S A K
MESKIPUN 1.0	M E S K I P U N
MESTI 1.0	M E S T I
MILIK 1.0	M I L I K
MIND 1.0	M AI N
